Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0.0,0,2,2,0,0,2,7,76.0,2.0,1.0,1610.0,113.0,150.0,60.0,669.0,85.0,150.0,550.0,3,0.4100909718472548,0.45086746901037594,0.706140350877193,0.43478260869565216,0.5,0.9482758620689655,0.09210526315789473,0.004347826086956522,0.02631578947368421,0.0012422360248447205
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0.0,0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,45.0,44.0,350.0,53.0,90.0,,3,0.4100909718472548,0.45086746901037594,0.2807017543859649,0.13043478260869565,0.25,,0.1111111111111111,0.00625,0.0,0.0
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0.0,0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,34.0,152.0,30.0,3,0.4100909718472548,0.45086746901037594,0.013157894736842105,0.43478260869565216,0.25,0.05172413793103448,0.23076923076923078,0.1,0.0,0.0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,0.0,1,0,2,2,1,2,8,55.0,4.0,2.0,777.0,104.0,122.0,81.0,260.0,89.0,122.0,,2,0.027477369981550318,1.7545398719185894,0.49270767279644895,0.5147679324894515,0.6666666666666666,,0.14545454545454545,0.010296010296010296,0.0,0.0
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,,0,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,78.0,104.0,80.0,2,0.027477369981550318,1.7545398719185894,0.507292327203551,0.48523206751054854,0.3333333333333333,1.0,0.1076923076923077,0.00875,0.015384615384615385,0.00125
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0.0,0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,,110.0,84.0,300.0,47.0,107.0,,12,0.03037034894240195,7.330706496838633,0.00909090909090909,0.06662628709872805,0.06451612903225806,,0.5,0.056818181818181816,0.0,0.0
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0.0,0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,,,69.0,350.0,78.0,140.0,,12,0.03037034894240195,7.330706496838633,0.08904958677685951,,0.16129032258064516,,0.1791044776119403,0.013921113689095127,0.0,0.0
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0.0,0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,170.0,,12,0.03037034894240195,7.330706496838633,0.052169421487603305,0.09872804360993337,0.06451612903225806,,0.15384615384615385,0.015841584158415842,0.0,0.0
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,0.0,2,9,1,6,4,0,25,154.0,7.0,3.0,3500.0,700.0,243.0,66.0,400.0,159.0,,,12,0.03037034894240195,7.330706496838633,0.3615702479338843,0.14718352513628105,0.22580645161290322,,0.16233766233766234,0.007142857142857143,0.05844155844155844,0.0025714285714285713
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,,0,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,59.0,130.0,,12,0.03037034894240195,7.330706496838633,0.04390495867768595,0.08479709267110842,0.06451612903225806,,0.125,0.009411764705882352,0.0,0.0
Mountain High,Sierra Nevada,California,8200,1600,6600,0,,0,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,150.0,73.0,12,0.03037034894240195,7.330706496838633,0.029958677685950414,0.07147183525136282,0.03225806451612903,0.3080168776371308,0.23728813559322035,0.04827586206896552,0.03389830508474576,0.006896551724137931
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,,0,0,0,0,4,0,4,26.0,,2.5,400.0,80.0,175.0,67.0,178.0,69.0,200.0,,12,0.03037034894240195,7.330706496838633,0.04132231404958678,0.10599636583888553,,,0.15384615384615385,0.01,0.0,0.0
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0.0,0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,144.0,,12,0.03037034894240195,7.330706496838633,0.1446280991735537,0.08479709267110842,0.03225806451612903,,0.24444444444444444,0.007857142857142858,0.0,0.0
Snow Valley,Sierra Nevada,California,7841,1041,6800,0,,0,0,0,5,6,1,12,28.0,6.0,1.2,240.0,188.0,111.0,82.0,160.0,79.0,143.0,164.0,12,0.03037034894240195,7.330706496838633,0.024793388429752067,0.06723198061780739,0.1935483870967742,0.6919831223628692,0.42857142857142855,0.05,0.0,0.0
Soda Springs,Sierra Nevada,California,7352,652,6700,0,,0,0,0,1,1,2,4,18.0,,0.4,200.0,20.0,150.0,83.0,400.0,50.0,144.0,,12,0.03037034894240195,7.330706496838633,0.02066115702479339,0.09085402786190187,,,0.2222222222222222,0.02,0.0,0.0
Sugar Bowl Resort,Sierra Nevada,California,8383,1500,6883,1,0.0,0,5,3,1,0,2,12,105.0,3.0,3.0,1650.0,375.0,151.0,80.0,500.0,125.0,150.0,,12,0.03037034894240195,7.330706496838633,0.17045454545454544,0.09145972138098123,0.0967741935483871,,0.11428571428571428,0.007272727272727273,0.047619047619047616,0.0030303030303030303
Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0.0,0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,,150.0,48.0,400.0,69.0,144.0,,12,0.03037034894240195,7.330706496838633,0.012396694214876033,0.09085402786190187,0.06451612903225806,,0.35714285714285715,0.041666666666666664,0.0,0.0
Arapahoe Basin Ski Area,Colorado,Colorado,13050,2530,10780,0,0.0,0,1,2,1,2,3,9,145.0,3.0,1.5,1428.0,125.0,230.0,73.0,350.0,85.0,233.0,,14,0.24310890445403296,13.449382289084866,0.030233739837398375,0.11482775836245632,0.075,,0.06206896551724138,0.0063025210084033615,0.006896551724137931,0.0007002801120448179
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,0.0,1,15,4,3,5,9,40,336.0,10.0,5.3,5517.0,658.0,138.0,72.0,300.0,179.0,138.0,,14,0.24310890445403296,13.449382289084866,0.11680640243902439,0.06889665501747379,0.25,,0.11904761904761904,0.0072503172013775605,0.044642857142857144,0.0027188689505165853
Copper Mountain Resort,Colorado,Colorado,12313,2738,9712,1,0.0,2,4,0,4,4,9,24,150.0,6.0,1.7,2527.0,364.0,164.0,47.0,300.0,158.0,164.0,,14,0.24310890445403296,13.449382289084866,0.05350186314363144,0.08187718422366451,0.15,,0.16,0.009497427779976256,0.02666666666666667,0.0015829046299960427
Purgatory,Colorado,Colorado,10822,2029,8793,0,0.0,1,2,0,3,3,3,12,101.0,9.0,1.3,1605.0,250.0,130.0,54.0,260.0,89.0,130.0,,14,0.24310890445403296,13.449382289084866,0.03398119918699187,0.06490264603095357,0.225,,0.1188118811881188,0.007476635514018692,0.019801980198019802,0.0012461059190031153
Howelsen Hill,Colorado,Colorado,7136,440,6696,0,,0,0,0,0,1,3,4,17.0,1.0,6.0,50.0,25.0,100.0,104.0,150.0,25.0,100.0,10.0,14,0.24310890445403296,13.449382289084866,0.0010586043360433603,0.04992511233150274,0.025,0.09090909090909091,0.23529411764705882,0.08,0.0,0.0
Loveland,Colorado,Colorado,13010,2210,10800,0,0.0,0,1,3,3,2,1,10,94.0,1.0,2.0,1800.0,240.0,205.0,82.0,422.0,79.0,184.0,,14,0.24310890445403296,13.449382289084866,0.038109756097560975,0.10234648027958063,0.025,,0.10638297872340426,0.005555555555555556,0.010638297872340425,0.0005555555555555556
Monarch Mountain,Colorado,Colorado,11952,1162,10790,0,0.0,0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,,143.0,80.0,350.0,89.0,136.0,,14,0.24310890445403296,13.449382289084866,0.016937669376693765,0.07139291063404893,0.05,,0.109375,0.00875,0.0,0.0
Powderhorn,Colorado,Colorado,9850,1650,8200,0,0.0,0,1,0,0,2,2,5,42.0,2.0,1.5,1600.0,42.0,111.0,53.0,250.0,71.0,110.0,,14,0.24310890445403296,13.449382289084866,0.03387533875338753,0.05541687468796805,0.05,,0.11904761904761904,0.003125,0.023809523809523808,0.000625
Silverton Mountain,Colorado,Colorado,13487,3087,10400,0,0.0,0,0,0,0,1,0,1,,,1.5,26819.0,,175.0,17.0,400.0,79.0,181.0,,14,0.24310890445403296,13.449382289084866,0.5678141937669376,0.08736894658012981,,,,3.72869980237891e-05,,0.0
Cooper,Colorado,Colorado,11700,1200,10500,0,0.0,0,0,0,1,1,2,4,41.0,1.0,1.0,400.0,,130.0,74.0,260.0,56.0,130.0,,14,0.24310890445403296,13.449382289084866,0.008468834688346883,0.06490264603095357,0.025,,0.0975609756097561,0.01,0.0,0.0
Ski Granby Ranch,Colorado,Colorado,9202,1000,8202,0,0.0,0,2,0,1,1,1,5,40.0,1.0,0.6,406.0,170.0,116.0,36.0,220.0,84.0,92.0,100.0,14,0.24310890445403296,13.449382289084866,0.008595867208672087,0.05791313030454318,0.025,0.9090909090909091,0.125,0.012315270935960592,0.05,0.0049261083743842365
Sunlight Mountain Resort,Colorado,Colorado,9895,2010,7885,0,0.0,0,0,0,1,2,0,3,67.0,1.0,2.5,680.0,30.0,100.0,53.0,250.0,65.0,135.0,,14,0.24310890445403296,13.449382289084866,0.014397018970189702,0.04992511233150274,0.025,,0.04477611940298507,0.004411764705882353,0.0,0.0
Telluride,Colorado,Colorado,13150,4425,8725,2,0.0,0,6,1,2,2,4,17,148.0,3.0,4.6,2000.0,220.0,131.0,47.0,280.0,139.0,137.0,,14,0.24310890445403296,13.449382289084866,0.04234417344173442,0.0654018971542686,0.075,,0.11486486486486487,0.0085,0.04054054054054054,0.003
Wolf Creek Ski Area,Colorado,Colorado,11904,1604,10300,0,0.0,0,3,1,2,1,3,10,120.0,,2.0,1600.0,5.0,130.0,80.0,430.0,72.0,150.0,,14,0.24310890445403296,13.449382289084866,0.03387533875338753,0.06490264603095357,,,0.08333333333333333,0.00625,0.025,0.001875
Mohawk Mountain,Connecticut,Connecticut,1600,650,950,0,,0,0,0,5,0,3,8,25.0,,1.5,107.0,100.0,,72.0,92.0,65.0,110.0,64.0,5,0.14024151833321272,90.20386072523904,0.2988826815642458,,,0.25,0.32,0.07476635514018691,0.0,0.0
Mount Southington Ski Area,Connecticut,Connecticut,525,425,100,0,,0,0,0,2,2,3,7,14.0,2.0,0.3,51.0,51.0,63.0,55.0,80.0,60.0,95.0,51.0,5,0.14024151833321272,90.20386072523904,0.1424581005586592,0.17847025495750707,0.2,0.19921875,0.5,0.13725490196078433,0.0,0.0
Powder Ridge Park,Connecticut,Connecticut,720,550,170,0,0.0,0,0,0,1,2,2,5,19.0,4.0,0.5,80.0,68.0,80.0,60.0,80.0,55.0,100.0,40.0,5,0.14024151833321272,90.20386072523904,0.22346368715083798,0.22662889518413598,0.4,0.15625,0.2631578947368421,0.0625,0.0,0.0
Ski Sundown,Connecticut,Connecticut,1075,625,450,0,0.0,0,0,0,3,0,2,5,16.0,2.0,1.0,70.0,70.0,84.0,50.0,45.0,62.0,95.0,66.0,5,0.14024151833321272,90.20386072523904,0.19553072625698323,0.23796033994334279,0.2,0.2578125,0.3125,0.07142857142857142,0.0,0.0
Woodbury Ski Area,Connecticut,Connecticut,730,300,430,0,,0,0,0,0,1,4,5,12.0,2.0,0.2,50.0,50.0,126.0,57.0,70.0,42.0,180.0,35.0,5,0.14024151833321272,90.20386072523904,0.13966480446927373,0.35694050991501414,0.2,0.13671875,0.4166666666666667,0.1,0.0,0.0
Bogus Basin,Idaho,Idaho,7582,1800,5800,0,,0,3,0,1,3,4,11,91.0,3.0,1.5,2600.0,,134.0,77.0,250.0,64.0,130.0,165.0,10,0.5595767361567711,11.966159700367362,0.18783412801618263,0.15783274440518258,0.16666666666666666,0.5238095238095238,0.12087912087912088,0.004230769230769231,0.03296703296703297,0.001153846153846154
Brundage Mountain Resort,Idaho,Idaho,7640,1800,5840,0,,0,1,0,4,0,1,6,51.0,2.0,3.2,1920.0,2.0,126.0,58.0,320.0,70.0,,,10,0.5595767361567711,11.966159700367362,0.13870827915041178,0.14840989399293286,0.1111111111111111,,0.11764705882352941,0.003125,0.0196078431372549,0.0005208333333333333
Kelly Canyon Ski Area,Idaho,Idaho,6600,1000,5600,0,,0,0,0,0,4,2,6,51.0,1.0,1.3,740.0,,,62.0,200.0,42.0,,,10,0.5595767361567711,11.966159700367362,0.05346048258922121,,0.05555555555555555,,0.11764705882352941,0.008108108108108109,0.0,0.0
Lookout Pass Ski Area,Idaho,Idaho,5650,1150,4500,0,0.0,0,0,0,1,3,0,4,35.0,2.0,1.5,540.0,,113.0,84.0,400.0,47.0,140.0,,10,0.5595767361567711,11.966159700367362,0.03901170351105332,0.1330977620730271,0.1111111111111111,,0.11428571428571428,0.007407407407407408,0.0,0.0
Magic Mountain Ski Area,Idaho,Idaho,7200,700,6500,0,,0,0,0,0,1,2,3,11.0,,1.5,280.0,,65.0,81.0,180.0,32.0,70.0,,10,0.5595767361567711,11.966159700367362,0.020228290709435052,0.07656065959952886,,,0.2727272727272727,0.010714285714285714,0.0,0.0
Pebble Creek Ski Area,Idaho,Idaho,8560,2200,6360,0,0.0,0,0,0,3,0,0,3,54.0,2.0,1.3,1100.0,30.0,85.0,70.0,250.0,47.0,91.0,30.0,10,0.5595767361567711,11.966159700367362,0.07946828492992342,0.10011778563015312,0.1111111111111111,0.09523809523809523,0.05555555555555555,0.0027272727272727275,0.0,0.0
Schweitzer,Idaho,Idaho,6400,2400,4000,0,0.0,1,2,0,1,3,2,9,92.0,3.0,2.1,2900.0,47.0,136.0,56.0,300.0,81.0,,100.0,10,0.5595767361567711,11.966159700367362,0.20950729663343448,0.160188457008245,0.16666666666666666,0.31746031746031744,0.09782608695652174,0.003103448275862069,0.021739130434782608,0.000689655172413793
Silver Mountain,Idaho,Idaho,6300,2200,4100,1,0.0,0,0,1,2,2,1,7,80.0,2.0,2.5,1600.0,225.0,130.0,29.0,300.0,62.0,193.0,20.0,10,0.5595767361567711,11.966159700367362,0.11559023262534315,0.15312131919905772,0.1111111111111111,0.06349206349206349,0.0875,0.004375,0.0,0.0
Soldier Mountain Ski Area,Idaho,Idaho,7200,1400,5800,0,,0,0,0,0,2,1,3,36.0,,0.4,1142.0,,60.0,71.0,,43.0,,,10,0.5595767361567711,11.966159700367362,0.08250252853633867,0.0706713780918728,,,0.08333333333333333,0.002626970227670753,0.0,0.0
Tamarack Resort,Idaho,Idaho,7700,2800,4900,0,0.0,0,2,2,0,0,2,6,48.0,3.0,1.5,1020.0,200.0,,15.0,300.0,71.0,150.0,,10,0.5595767361567711,11.966159700367362,0.07368877329865627,,0.16666666666666666,,0.125,0.0058823529411764705,0.041666666666666664,0.00196078431372549
Chestnut Mountain Resort,Illinois,Illinois,1040,475,565,0,,0,0,2,4,0,3,9,22.0,3.0,0.2,139.0,139.0,87.0,60.0,50.0,55.0,112.0,139.0,3,0.023674576842586396,5.180094623061781,0.7637362637362637,0.6083916083916084,0.6,0.7637362637362637,0.4090909090909091,0.06474820143884892,0.0,0.0
Ski Snowstar Winter Sports Park,Illinois,Illinois,790,262,528,0,,0,0,2,0,2,2,6,15.0,1.0,0.8,28.0,28.0,56.0,38.0,38.0,35.0,86.0,28.0,3,0.023674576842586396,5.180094623061781,0.15384615384615385,0.3916083916083916,0.2,0.15384615384615385,0.4,0.21428571428571427,0.0,0.0
Villa Olivia,Illinois,Illinois,500,180,320,0,,0,0,1,0,0,6,7,7.0,1.0,0.1,15.0,15.0,,53.0,25.0,40.0,70.0,15.0,3,0.023674576842586396,5.180094623061781,0.08241758241758242,,0.2,0.08241758241758242,1.0,0.4666666666666667,0.0,0.0
Paoli Peaks,Indiana,Indiana,900,300,600,0,0.0,0,1,1,3,1,2,8,15.0,2.0,0.4,65.0,65.0,75.0,41.0,18.0,45.0,80.0,65.0,2,0.02970788680522722,5.491488193300384,0.3939393939393939,0.47770700636942676,0.5,0.3939393939393939,0.5333333333333333,0.12307692307692308,0.06666666666666667,0.015384615384615385
Perfect North Slopes,Indiana,Indiana,800,400,400,0,,0,0,2,3,0,6,11,23.0,2.0,1.0,100.0,100.0,82.0,39.0,24.0,52.0,90.0,100.0,2,0.02970788680522722,5.491488193300384,0.6060606060606061,0.5222929936305732,0.5,0.6060606060606061,0.4782608695652174,0.11,0.0,0.0
Mt. Crescent Ski Area,Iowa,Iowa,1500,300,1200,0,,0,0,1,0,1,0,2,11.0,1.0,0.2,50.0,50.0,,58.0,30.0,39.0,,50.0,3,0.0950850535804277,5.3311534839088015,0.35714285714285715,,0.2,0.35714285714285715,0.18181818181818182,0.04,0.0,0.0
Seven Oaks,Iowa,Iowa,975,275,800,0,0.0,0,0,0,2,0,2,4,11.0,2.0,1.0,35.0,35.0,100.0,22.0,40.0,40.0,100.0,35.0,3,0.0950850535804277,5.3311534839088015,0.25,1.0,0.4,0.25,0.36363636363636365,0.11428571428571428,0.0,0.0
Sundown Mountain,Iowa,Iowa,1059,475,584,0,,0,0,1,1,2,2,6,21.0,2.0,0.6,55.0,55.0,,46.0,45.0,46.0,,55.0,3,0.0950850535804277,5.3311534839088015,0.39285714285714285,,0.4,0.39285714285714285,0.2857142857142857,0.10909090909090909,0.0,0.0
Big Squaw Mountain Ski Resort,Maine,Maine,3200,660,1750,0,,0,0,0,1,0,0,1,29.0,,0.8,,,67.0,6.0,,30.0,58.0,,8,0.595144218322705,22.611644997173546,,0.07745664739884393,,,0.034482758620689655,,0.0,
Camden Snow Bowl,Maine,Maine,1080,850,150,0,,0,0,0,1,1,1,3,26.0,2.0,1.0,100.0,48.0,68.0,83.0,69.0,43.0,70.0,48.0,8,0.595144218322705,22.611644997173546,0.031210986267166042,0.07861271676300578,0.11764705882352941,0.12371134020618557,0.11538461538461539,0.03,0.0,0.0
Lost Valley,Maine,Maine,495,240,255,0,,0,0,0,0,2,2,4,22.0,2.0,0.3,45.0,45.0,87.0,58.0,50.0,55.0,104.0,45.0,8,0.595144218322705,22.611644997173546,0.014044943820224719,0.10057803468208093,0.11764705882352941,0.11597938144329897,0.18181818181818182,0.08888888888888889,0.0,0.0
Mt. Abram Ski Resort,Maine,Maine,2250,1150,1050,0,0.0,0,0,0,0,2,3,5,54.0,1.0,0.5,640.0,175.0,120.0,59.0,125.0,49.0,120.0,,8,0.595144218322705,22.611644997173546,0.19975031210986266,0.13872832369942195,0.058823529411764705,,0.09259259259259259,0.0078125,0.0,0.0
New Hermon Mountain,Maine,Maine,450,350,100,0,,0,0,0,0,1,2,3,20.0,,1.9,70.0,70.0,102.0,55.0,90.0,32.0,117.0,45.0,8,0.595144218322705,22.611644997173546,0.02184769038701623,0.11791907514450867,,0.11597938144329897,0.15,0.04285714285714286,0.0,0.0
Shawnee Peak,Maine,Maine,1900,1350,600,0,,0,0,1,2,1,2,6,43.0,3.0,0.8,239.0,234.0,97.0,81.0,110.0,75.0,103.0,110.0,8,0.595144218322705,22.611644997173546,0.07459425717852684,0.11213872832369942,0.17647058823529413,0.28350515463917525,0.13953488372093023,0.02510460251046025,0.0,0.0
Sugarloaf,Maine,Maine,4237,2820,1417,0,0.0,0,2,3,1,5,2,13,162.0,4.0,3.5,1240.0,618.0,159.0,68.0,200.0,99.0,155.0,,8,0.595144218322705,22.611644997173546,0.38701622971285893,0.1838150289017341,0.23529411764705882,,0.08024691358024691,0.010483870967741936,0.012345679012345678,0.0016129032258064516
Sunday River,Maine,Maine,3140,2340,800,1,0.0,0,4,5,3,1,1,15,135.0,5.0,3.0,870.0,552.0,165.0,60.0,167.0,105.0,169.0,140.0,8,0.595144218322705,22.611644997173546,0.27153558052434457,0.1907514450867052,0.29411764705882354,0.36082474226804123,0.1111111111111111,0.017241379310344827,0.02962962962962963,0.004597701149425287
Wisp,Maryland,Maryland,3115,700,2415,0,,0,0,2,5,0,5,12,34.0,3.0,1.5,172.0,118.0,121.0,64.0,100.0,79.0,120.0,118.0,1,0.016540736525916026,8.060615831049493,1.0,1.0,1.0,1.0,0.35294117647058826,0.06976744186046512,0.0,0.0
Berkshire East,Massachusetts,Massachusetts,1720,1180,540,0,,0,0,2,1,1,2,6,47.0,2.0,2.0,180.0,165.0,120.0,68.0,120.0,68.0,120.0,80.0,10,0.14224919013979823,94.74182851729039,0.16057091882247992,0.21201413427561838,0.11764705882352941,0.14678899082568808,0.1276595744680851,0.03333333333333333,0.0,0.0
Blandford Ski Area,Massachusetts,Massachusetts,1685,465,1035,0,0.0,0,0,0,0,3,2,5,29.0,2.0,0.5,132.0,70.0,,83.0,50.0,45.0,,70.0,10,0.14224919013979823,94.74182851729039,0.11775200713648529,,0.11764705882352941,0.12844036697247707,0.1724137931034483,0.03787878787878788,0.0,0.0
Blue Hills Ski Area,Massachusetts,Massachusetts,635,309,326,0,0.0,0,0,0,0,1,3,4,16.0,1.0,,60.0,60.0,,19.0,,45.0,,,10,0.14224919013979823,94.74182851729039,0.05352363960749331,,0.058823529411764705,,0.25,0.06666666666666667,0.0,0.0
Bousquet Ski Area,Massachusetts,Massachusetts,1875,750,1125,0,,0,0,0,0,3,2,5,23.0,1.0,1.0,200.0,98.0,,19.0,83.0,49.0,,100.0,10,0.14224919013979823,94.74182851729039,0.1784121320249777,,0.058823529411764705,0.1834862385321101,0.21739130434782608,0.025,0.0,0.0
Bradford Ski Area,Massachusetts,Massachusetts,1548,248,1300,0,,0,0,0,2,0,8,10,15.0,1.0,0.3,48.0,48.0,,71.0,,55.0,,,10,0.14224919013979823,94.74182851729039,0.042818911685994644,,0.058823529411764705,,0.6666666666666666,0.20833333333333334,0.0,0.0
Jiminy Peak,Massachusetts,Massachusetts,2380,1150,1230,0,0.0,1,0,2,3,1,2,9,45.0,3.0,2.0,167.0,163.0,121.0,71.0,90.0,81.0,120.0,104.0,10,0.14224919013979823,94.74182851729039,0.14897413024085637,0.2137809187279152,0.17647058823529413,0.1908256880733945,0.2,0.05389221556886228,0.0,0.0
Nashoba Valley,Massachusetts,Massachusetts,440,240,200,0,,0,0,0,3,1,7,11,17.0,2.0,0.5,52.0,52.0,112.0,55.0,55.0,58.0,126.0,52.0,10,0.14224919013979823,94.74182851729039,0.0463871543264942,0.1978798586572438,0.11764705882352941,0.09541284403669725,0.6470588235294118,0.21153846153846154,0.0,0.0
Otis Ridge Ski Area,Massachusetts,Massachusetts,1700,400,1300,0,,0,0,0,0,1,3,4,11.0,1.0,1.0,60.0,55.0,106.0,73.0,70.0,40.0,106.0,35.0,10,0.14224919013979823,94.74182851729039,0.05352363960749331,0.1872791519434629,0.058823529411764705,0.06422018348623854,0.36363636363636365,0.06666666666666667,0.0,0.0
Ski Butternut,Massachusetts,Massachusetts,1800,1000,800,0,0.0,0,0,3,1,1,6,11,22.0,2.0,1.5,110.0,110.0,107.0,56.0,115.0,60.0,110.0,,10,0.14224919013979823,94.74182851729039,0.09812667261373774,0.18904593639575973,0.11764705882352941,,0.5,0.1,0.0,0.0
Wachusett Mountain Ski Area,Massachusetts,Massachusetts,2006,1000,1006,0,0.0,0,3,0,1,0,4,8,27.0,2.0,1.5,112.0,112.0,,57.0,100.0,71.0,120.0,104.0,10,0.14224919013979823,94.74182851729039,0.09991079393398751,,0.11764705882352941,0.1908256880733945,0.2962962962962963,0.07142857142857142,0.1111111111111111,0.026785714285714284
Alpine Valley Ski Area,Michigan,Michigan,500,240,126,0,,0,0,1,2,5,6,14,25.0,3.0,0.2,100.0,100.0,,57.0,20.0,47.0,,100.0,26,0.2603421677110226,26.88338813408607,0.026164311878597593,,0.05660377358490566,0.06341154090044387,0.56,0.14,0.0,0.0
Apple Mountain,Michigan,Michigan,820,220,600,0,0.0,0,0,1,0,0,5,6,12.0,,,80.0,42.0,,58.0,52.0,35.0,,80.0,26,0.2603421677110226,26.88338813408607,0.020931449502878074,,,0.05072923272035511,0.5,0.075,0.0,0.0
Big Powderhorn Mountain,Michigan,Michigan,1800,600,1200,0,0.0,0,0,0,0,9,1,10,45.0,2.0,1.0,253.0,228.0,100.0,55.0,214.0,69.0,108.0,,26,0.2603421677110226,26.88338813408607,0.06619570905285191,0.048426150121065374,0.03773584905660377,,0.2222222222222222,0.039525691699604744,0.0,0.0
Bittersweet Ski Area,Michigan,Michigan,850,350,450,0,0.0,0,0,1,7,0,4,12,20.0,2.0,0.2,100.0,100.0,80.0,36.0,90.0,48.0,,100.0,26,0.2603421677110226,26.88338813408607,0.026164311878597593,0.0387409200968523,0.03773584905660377,0.06341154090044387,0.6,0.12,0.0,0.0
Big Snow Resort - Blackjack,Michigan,Michigan,850,465,385,0,0.0,0,0,0,0,4,2,6,26.0,2.0,1.0,170.0,86.0,95.0,42.0,210.0,65.0,115.0,,26,0.2603421677110226,26.88338813408607,0.044479330193615906,0.04600484261501211,0.03773584905660377,,0.23076923076923078,0.03529411764705882,0.0,0.0
